ProductName,Category,Brand,UnitPrice
Binoculars,Toys & Games,FakeEtherealEdge,397
Smart Thermostat,Kitchen & Dining,FakeVelvetVista,636
Supplement,Pets,FakeVelvetVista,576
Smartwatch,Electronics,FakeUrbanGlow,621
Antivirus,Sports & Recreation,FakeEtherealEdge,767
Robot Vacuum,Home & Furniture,FakeZenithStyle,783
Electric Toothbrush,Arts & Crafts,FakeLuxeAura,381
Snow Shovel,Home & Furniture,FakeUrbanGlow,789
Volleyball,Toys & Games,FakeLuxeAura,241
Microwave,Electronics,FakeUrbanGlow,179
Fitness Tracker,Arts & Crafts,FakeVelvetVista,779
Pet Bed,Outdoor & Garden,FakeUrbanGlow,319
Toy Car,Sports & Recreation,FakeUrbanGlow,851
Water Filter,Sports & Recreation,FakeLuxeAura,150
Fish Food,Health & Fitness,FakeEtherealEdge,720
Mattress,Kitchen & Dining,FakeUrbanGlow,850
Ice Skates,Kitchen & Dining,FakeZenithStyle,586
Paddleboard,Sports & Recreation,FakeEtherealEdge,462
Microwave,Pets,FakeLuxeAura,307
Pet Feeder,Electronics,FakeVelvetVista,805
Hiking Backpack,Pets,FakeVelvetVista,953
Tarp,Kitchen & Dining,FakeLuxeAura,603
Camping Tent,Toys & Games,FakeLuxeAura,713
Dog Leash,Health & Fitness,FakeEtherealEdge,848
Cat Tree,Home Appliances,FakeLuxeAura,886
Mattress,Toys & Games,FakeEtherealEdge,852
Electric Shaver,Kitchen & Dining,FakeUrbanGlow,100
Washing Machine,Health & Fitness,FakeLuxeAura,313
Robot Vacuum,Toys & Games,FakeUrbanGlow,248
Headphones,Kitchen & Dining,FakeZenithStyle,958
Craft Kit,Home & Furniture,FakeUrbanGlow,486
Toothpaste,Home & Furniture,FakeUrbanGlow,587
Camping Chair,Health & Fitness,FakeUrbanGlow,432
Showerhead,Kitchen & Dining,FakeZenithStyle,825
Lawn Sprinkler,Toys & Games,FakeZenithStyle,584
Golf Clubs,Toys & Games,FakeEtherealEdge,413
Snowboard,Health & Fitness,FakeZenithStyle,145
Kayak,Home & Furniture,FakeUrbanGlow,778
Juicer,Kitchen & Dining,FakeLuxeAura,441
Ski Goggles,Outdoor & Garden,FakeVelvetVista,127
Sewing Machine,Health & Fitness,FakeZenithStyle,180
Elliptical,Toys & Games,FakeVelvetVista,621
Cooler,Outdoor & Garden,FakeLuxeAura,314
Bird Feeder,Health & Fitness,FakeZenithStyle,390
Snowboard,Sports & Recreation,FakeEtherealEdge,619
Ski Poles,Toys & Games,FakeUrbanGlow,498
Dog Collar,Kitchen & Dining,FakeVelvetVista,396
Craft Kit,Outdoor & Garden,FakeVelvetVista,954
Router,Home & Furniture,FakeZenithStyle,446
Refrigerator,Home & Furniture,FakeZenithStyle,426
Smart Light,Sports & Recreation,FakeZenithStyle,914
Fan,Electronics,FakeUrbanGlow,442
Ski Goggles,Home Appliances,FakeVelvetVista,1000
Projector,Electronics,FakeLuxeAura,748
Pet Carrier,Outdoor & Garden,FakeZenithStyle,649
Portable Charger,Health & Fitness,FakeLuxeAura,257
Dog House,Electronics,FakeUrbanGlow,142
Cat Tree,Pets,FakeVelvetVista,634
Cooler,Health & Fitness,FakeLuxeAura,105
Telescope,Electronics,FakeLuxeAura,671
Showerhead,Home Appliances,FakeEtherealEdge,787
Soap,Arts & Crafts,FakeLuxeAura,731
Laser Printer,Outdoor & Garden,FakeZenithStyle,451
Toy Car,Sports & Recreation,FakeUrbanGlow,177
3D Printer,Toys & Games,FakeEtherealEdge,114
Ski Poles,Toys & Games,FakeLuxeAura,404
Pet Feeder,Outdoor & Garden,FakeZenithStyle,651
Sleeping Pad,Sports & Recreation,FakeVelvetVista,337
Yoga Mat,Arts & Crafts,FakeZenithStyle,660
Water Filter,Toys & Games,FakeLuxeAura,357
Smartwatch,Arts & Crafts,FakeLuxeAura,911
VR Headset,Toys & Games,FakeZenithStyle,458
Surfboard,Sports & Recreation,FakeZenithStyle,397
Wi-Fi Extender,Health & Fitness,FakeVelvetVista,840
Lawn Mower,Sports & Recreation,FakeVelvetVista,658
Lamp,Toys & Games,FakeLuxeAura,963
Snow Shovel,Health & Fitness,FakeEtherealEdge,580
Bird Cage,Outdoor & Garden,FakeEtherealEdge,990
Tennis Racket,Arts & Crafts,FakeZenithStyle,431
Smartwatch,Arts & Crafts,FakeUrbanGlow,130
Dog Leash,Kitchen & Dining,FakeVelvetVista,515
Mattress,Sports & Recreation,FakeVelvetVista,879
Building Blocks,Toys & Games,FakeEtherealEdge,998
Sleeping Pad,Home & Furniture,FakeVelvetVista,543
Keyboard,Health & Fitness,FakeLuxeAura,556
Showerhead,Sports & Recreation,FakeEtherealEdge,240
Fire Pit,Toys & Games,FakeUrbanGlow,533
Smart Doorbell,Health & Fitness,FakeLuxeAura,273
Elliptical,Pets,FakeUrbanGlow,710
Wi-Fi Extender,Home & Furniture,FakeEtherealEdge,806
Fan,Home Appliances,FakeZenithStyle,499
Microwave,Home Appliances,FakeZenithStyle,922
Dishwasher,Toys & Games,FakeZenithStyle,523
Treadmill,Electronics,FakeZenithStyle,622
Surfboard,Arts & Crafts,FakeUrbanGlow,644
Portable Charger,Electronics,FakeZenithStyle,329
Jacket,Kitchen & Dining,FakeLuxeAura,528
Blender,Kitchen & Dining,FakeZenithStyle,476
Keyboard,Sports & Recreation,FakeUrbanGlow,552
Aquarium,Home Appliances,FakeVelvetVista,587
